apc,statusIndicator,effectiveDate,paymentRate,nationalCoinsurance,minimumCoinsurance
00816,G,20250101,000551.62,00110.33,00110.33
00817,K,20250101,000091.73,00018.35,00018.35
00818,K,20250101,000535.90,00107.19,00107.19
00819,K,20250101,000169.86,00033.98,00033.98
00820,K,20250101,000024.44,00004.89,00004.89
00822,K,20250101,000010.11,00002.03,00002.03
00825,K,20250101,000072.53,00014.51,00014.51
00826,K,20250101,000087.14,00017.43,00017.43
00827,K,20250101,003858.03,00771.61,00771.61
00828,K,20250101,000043.57,00008.72,00008.72
00829,K,20250101,000013.36,00002.68,00002.68
00830,K,20250101,000087.14,00017.43,00017.43
00833,K,20250101,000014.63,00002.93,00002.93
00834,K,20250101,000099.63,00019.93,00019.93
00840,K,20250101,000153.54,00030.71,00030.71
00843,K,20250101,027070.53,05414.11,05414.11
00844,K,20250101,002541.77,00508.36,00508.36
00851,K,20250101,000209.02,00041.81,00041.81
00856,K,20250101,023870.14,04774.03,04774.03
00858,K,20250101,000014.25,00002.85,00002.85
00864,K,20250101,000054.65,00010.94,00010.94
00874,K,20250101,000009.16,00001.84,00001.84
00875,K,20250101,000121.31,00024.27,00024.27
00877,K,20250101,000122.91,00024.59,00024.59
00887,K,20250101,000235.67,00047.14,00047.14
00890,K,20250101,003968.45,00793.69,00793.69
00901,K,20250101,000004.94,00000.99,00000.99
00902,K,20250101,000006.41,00001.29,00001.29
00903,K,20250101,001814.94,00362.99,00362.99
00925,K,20250101,000001.17,00000.24,00000.24
00927,K,20250101,000001.55,00000.31,00000.31
00928,K,20250101,000001.65,00000.34,00000.34
00929,K,20250101,000002.34,00000.47,00000.47
00931,K,20250101,000001.41,00000.29,00000.29
00932,K,20250101,000001.85,00000.38,00000.38
00943,K,20250101,000049.00,00009.80,00009.80
00944,K,20250101,000049.69,00009.94,00009.94
00946,K,20250101,000068.66,00013.74,00013.74
00947,K,20250101,000056.12,00011.23,00011.23
00948,K,20250101,000048.81,00009.77,00009.77
00963,K,20250101,000053.08,00010.62,00010.62
00964,K,20250101,000021.23,00004.25,00004.25
01015,K,20250101,000172.88,00034.58,00034.58
01064,K,20250101,000023.13,00004.63,00004.63
01138,K,20250101,000068.66,00013.74,00013.74
01139,K,20250101,000015.05,00003.02,00003.02
01142,K,20250101,045350.22,09070.05,09070.05
01150,K,20250101,000020.88,00004.18,00004.18
01168,K,20250101,000032.21,00006.45,00006.45
01178,K,20250101,000001.27,00000.26,00000.26
01203,K,20250101,000011.53,00002.31,00002.31
01207,K,20250101,000214.88,00042.98,00042.98
01213,K,20250101,000001.23,00000.25,00000.25
01214,K,20250101,000048.58,00009.72,00009.72
01232,K,20250101,000042.51,00008.51,00008.51
01235,K,20250101,001437.08,00287.42,00287.42
01237,K,20250101,000017.67,00003.54,00003.54
01263,K,20250101,000003.85,00000.78,00000.78
01268,K,20250101,000001.48,00000.30,00000.30
01274,K,20250101,006086.32,01217.27,01217.27
01281,K,20250101,000001.82,00000.37,00000.37
01289,K,20250101,000008.63,00001.73,00001.73
01295,K,20250101,004314.91,00862.99,00862.99
01296,K,20250101,000004.18,00000.84,00000.84
01297,K,20250101,000000.34,00000.07,00000.07
01311,K,20250101,000127.81,00025.57,00025.57
01312,K,20250101,000013.23,00002.65,00002.65
01327,K,20250101,000043.62,00008.73,00008.73
01331,K,20250101,000002.92,00000.59,00000.59
01340,K,20250101,000071.16,00014.24,00014.24
01352,K,20250101,000001.28,00000.26,00000.26
01353,K,20250101,000054.15,00010.83,00010.83
01413,K,20250101,000201.97,00040.40,00040.40
01415,K,20250101,000005.58,00001.12,00001.12
01416,K,20250101,000010.16,00002.04,00002.04
01417,K,20250101,000534.48,00106.90,00106.90
01420,K,20250101,000821.98,00164.40,00164.40
01421,K,20250101,000528.86,00105.78,00105.78
01426,K,20250101,000135.79,00027.16,00027.16
01431,K,20250101,004804.24,00960.85,00960.85
01433,K,20250101,001173.06,00234.62,00234.62
01440,K,20250101,000005.42,00001.09,00001.09
