diagnosticRelatedGroup,effectiveDate,weight,geometricMeanLengthOfStay,lowVolumeDrg,arithmeticMeanLengthOfStay,postAcuteCare,specialPaymentPostAcuteCare,description
377,2025-10-01,1.8280,4.5,,5.8,Y,,GASTROINTESTINAL HEMORRHAG
378,2025-10-01,0.9807,2.9,,3.5,Y,,GASTROINTESTINAL HEMORRHAG
379,2025-10-01,0.6304,2.0,,2.4,Y,,GASTROINTESTINAL HEMORRHAG
380,2025-10-01,1.9622,5.1,,6.7,Y,,COMPLICATED PEPTIC ULCER W
381,2025-10-01,1.0835,3.1,,3.8,Y,,COMPLICATED PEPTIC ULCER W
382,2025-10-01,0.8006,2.4,,2.9,Y,,COMPLICATED PEPTIC ULCER W
383,2025-10-01,1.3807,3.9,,5.1,,,UNCOMPLICATED PEPTIC ULCER
384,2025-10-01,0.8548,2.4,,3.0,,,UNCOMPLICATED PEPTIC ULCER
385,2025-10-01,1.5823,4.8,,6.5,,,INFLAMMATORY BOWEL DISEASE
386,2025-10-01,0.9763,3.3,,4.2,,,INFLAMMATORY BOWEL DISEASE
387,2025-10-01,0.6813,2.5,,3.1,,,INFLAMMATORY BOWEL DISEASE
388,2025-10-01,1.4768,4.5,,6.0,Y,,GASTROINTESTINAL OBSTRUCTI
389,2025-10-01,0.7898,2.9,,3.6,Y,,GASTROINTESTINAL OBSTRUCTI
390,2025-10-01,0.5440,2.2,,2.6,Y,,GASTROINTESTINAL OBSTRUCTI
391,2025-10-01,1.2683,3.8,,5.1,,,"ESOPHAGITIS, GASTROENTERIT"
392,2025-10-01,0.7796,2.5,,3.2,,,"ESOPHAGITIS, GASTROENTERIT"
393,2025-10-01,1.5993,4.2,,5.9,,,OTHER DIGESTIVE SYSTEM DIA
394,2025-10-01,0.9357,2.9,,3.7,,,OTHER DIGESTIVE SYSTEM DIA
395,2025-10-01,0.6490,2.0,,2.5,,,OTHER DIGESTIVE SYSTEM DIA
397,2025-10-01,2.3949,4.8,,6.5,,,APPENDIX PROCEDURES WITH M
398,2025-10-01,1.5136,2.9,,3.8,,,APPENDIX PROCEDURES WITH C
399,2025-10-01,1.1447,1.8,,2.2,,,APPENDIX PROCEDURES WITHOU
402,2025-10-01,4.0205,2.4,,2.9,,,SINGLE LEVEL COMBINED ANTE
405,2025-10-01,5.4705,8.4,,11.8,Y,,"PANCREAS, LIVER AND SHUNT"
406,2025-10-01,2.9002,4.7,,5.9,Y,,"PANCREAS, LIVER AND SHUNT"
407,2025-10-01,2.2196,3.2,,3.9,Y,,"PANCREAS, LIVER AND SHUNT"
408,2025-10-01,3.5656,7.8,,10.4,,,BILIARY TRACT PROCEDURES E
409,2025-10-01,2.1773,4.3,,5.4,,,BILIARY TRACT PROCEDURES E
410,2025-10-01,1.5877,2.9,,3.5,,,BILIARY TRACT PROCEDURES E
411,2025-10-01,3.3033,5.9,,8.3,,,CHOLECYSTECTOMY WITH C.D.E
412,2025-10-01,2.1025,3.8,,4.5,,,CHOLECYSTECTOMY WITH C.D.E
413,2025-10-01,1.6605,2.7,,3.3,,,CHOLECYSTECTOMY WITH C.D.E
414,2025-10-01,3.5626,7.3,,9.4,Y,,CHOLECYSTECTOMY EXCEPT BY
415,2025-10-01,2.0667,4.6,,5.6,Y,,CHOLECYSTECTOMY EXCEPT BY
416,2025-10-01,1.3633,2.8,,3.3,Y,,CHOLECYSTECTOMY EXCEPT BY
417,2025-10-01,2.3864,4.7,,6.1,,,LAPAROSCOPIC CHOLECYSTECTO
418,2025-10-01,1.6916,3.2,,3.9,,,LAPAROSCOPIC CHOLECYSTECTO
419,2025-10-01,1.3658,2.2,,2.6,,,LAPAROSCOPIC CHOLECYSTECTO
420,2025-10-01,3.4071,6.9,,9.5,,,HEPATOBILIARY DIAGNOSTIC P
421,2025-10-01,1.7375,3.4,,4.5,,,HEPATOBILIARY DIAGNOSTIC P
422,2025-10-01,1.3995,2.3,,2.9,,,HEPATOBILIARY DIAGNOSTIC P
423,2025-10-01,4.1530,8.1,,11.3,,,OTHER HEPATOBILIARY OR PAN
424,2025-10-01,2.1879,4.5,,5.9,,,OTHER HEPATOBILIARY OR PAN
425,2025-10-01,1.5003,2.6,,3.2,,,OTHER HEPATOBILIARY OR PAN
426,2025-10-01,11.0212,7.3,,9.2,Y,Y,MULTIPLE LEVEL COMBINED AN
427,2025-10-01,7.2186,4.0,,4.8,Y,Y,MULTIPLE LEVEL COMBINED AN
428,2025-10-01,5.6220,2.6,,3.0,Y,Y,MULTIPLE LEVEL COMBINED AN
429,2025-10-01,9.0096,9.6,,12.3,,,COMBINED ANTERIOR AND POST
430,2025-10-01,5.7671,3.6,,4.6,,,COMBINED ANTERIOR AND POST
432,2025-10-01,1.9682,4.9,,6.7,,,CIRRHOSIS AND ALCOHOLIC HE
433,2025-10-01,1.0562,3.3,,4.2,,,CIRRHOSIS AND ALCOHOLIC HE
434,2025-10-01,0.7125,2.3,,3.0,,,CIRRHOSIS AND ALCOHOLIC HE
435,2025-10-01,1.8367,4.8,,6.3,,,MALIGNANCY OF HEPATOBILIAR
436,2025-10-01,1.1311,3.3,,4.3,,,MALIGNANCY OF HEPATOBILIAR
437,2025-10-01,0.8533,2.4,,2.9,,,MALIGNANCY OF HEPATOBILIAR
438,2025-10-01,1.6302,4.6,,6.3,,,DISORDERS OF PANCREAS EXCE
439,2025-10-01,0.8412,2.9,,3.6,,,DISORDERS OF PANCREAS EXCE
440,2025-10-01,0.6214,2.2,,2.7,,,DISORDERS OF PANCREAS EXCE
441,2025-10-01,1.7947,4.6,,6.3,Y,,DISORDERS OF LIVER EXCEPT
442,2025-10-01,0.9653,3.2,,4.0,Y,,DISORDERS OF LIVER EXCEPT
443,2025-10-01,0.6997,2.4,,2.9,Y,,DISORDERS OF LIVER EXCEPT
444,2025-10-01,1.6709,4.3,,5.7,,,DISORDERS OF THE BILIARY T
445,2025-10-01,1.0944,3.0,,3.7,,,DISORDERS OF THE BILIARY T
446,2025-10-01,0.8273,2.1,,2.5,,,DISORDERS OF THE BILIARY T
447,2025-10-01,6.6816,7.8,,9.7,Y,Y,MULTIPLE LEVEL SPINAL FUSI
448,2025-10-01,4.2408,3.3,,4.1,Y,Y,MULTIPLE LEVEL SPINAL FUSI
450,2025-10-01,5.3296,6.3,,8.1,,,SINGLE LEVEL SPINAL FUSION
451,2025-10-01,3.2304,2.4,,3.1,,,SINGLE LEVEL SPINAL FUSION
456,2025-10-01,8.4034,9.4,,11.5,,,SPINAL FUSION EXCEPT CERVI
457,2025-10-01,5.9631,4.8,,5.9,,,SPINAL FUSION EXCEPT CERVI
458,2025-10-01,4.1726,2.4,,2.8,,,SPINAL FUSION EXCEPT CERVI
461,2025-10-01,5.5230,5.9,,7.6,,,BILATERAL OR MULTIPLE MAJO
462,2025-10-01,2.6600,2.2,,2.7,,,BILATERAL OR MULTIPLE MAJO
463,2025-10-01,5.6995,10.6,,14.3,Y,,WOUND DEBRIDEMENT AND SKIN
464,2025-10-01,3.1147,5.5,,7.3,Y,,WOUND DEBRIDEMENT AND SKIN
465,2025-10-01,1.8237,2.1,,3.0,Y,,WOUND DEBRIDEMENT AND SKIN
466,2025-10-01,5.2054,7.1,,9.1,Y,,REVISION OF HIP OR KNEE RE
467,2025-10-01,3.5266,3.1,,4.1,Y,,REVISION OF HIP OR KNEE RE
468,2025-10-01,2.7480,1.5,,1.8,Y,,REVISION OF HIP OR KNEE RE
469,2025-10-01,3.0332,3.3,,4.4,Y,,MAJOR HIP AND KNEE JOINT R
470,2025-10-01,1.9289,1.9,,2.2,Y,,MAJOR HIP AND KNEE JOINT R
471,2025-10-01,4.8287,7.1,,9.4,,,CERVICAL SPINAL FUSION WIT
472,2025-10-01,2.9461,2.5,,3.5,,,CERVICAL SPINAL FUSION WIT
473,2025-10-01,2.4413,1.6,,2.0,,,CERVICAL SPINAL FUSION WIT
474,2025-10-01,4.2929,9.8,,12.3,Y,,AMPUTATION FOR MUSCULOSKEL
475,2025-10-01,2.2757,5.9,,7.3,Y,,AMPUTATION FOR MUSCULOSKEL
476,2025-10-01,1.1802,2.7,,3.6,Y,,AMPUTATION FOR MUSCULOSKEL
477,2025-10-01,3.4546,8.6,,10.6,Y,Y,BIOPSIES OF MUSCULOSKELETA
478,2025-10-01,2.4592,5.4,,6.7,Y,Y,BIOPSIES OF MUSCULOSKELETA
